,ev_demanda,date,year,month,day
0,538797.089,2020-01-01T00:00:00.000+01:00,2020,1,1
1,682922.739,2020-01-02T00:00:00.000+01:00,2020,1,2
2,713964.587,2020-01-03T00:00:00.000+01:00,2020,1,3
3,663379.955,2020-01-04T00:00:00.000+01:00,2020,1,4
4,614368.136,2020-01-05T00:00:00.000+01:00,2020,1,5
5,593557.14,2020-01-06T00:00:00.000+01:00,2020,1,6
6,747751.698,2020-01-07T00:00:00.000+01:00,2020,1,7
7,778150.277,2020-01-08T00:00:00.000+01:00,2020,1,8
8,778785.996,2020-01-09T00:00:00.000+01:00,2020,1,9
9,772059.1,2020-01-10T00:00:00.000+01:00,2020,1,10
10,692606.135,2020-01-11T00:00:00.000+01:00,2020,1,11
11,655358.535,2020-01-12T00:00:00.000+01:00,2020,1,12
12,786763.721,2020-01-13T00:00:00.000+01:00,2020,1,13
13,802034.981,2020-01-14T00:00:00.000+01:00,2020,1,14
14,790810.723,2020-01-15T00:00:00.000+01:00,2020,1,15
15,780937.541,2020-01-16T00:00:00.000+01:00,2020,1,16
16,766370.181,2020-01-17T00:00:00.000+01:00,2020,1,17
17,690216.505,2020-01-18T00:00:00.000+01:00,2020,1,18
18,651149.049,2020-01-19T00:00:00.000+01:00,2020,1,19
19,803688.355,2020-01-20T00:00:00.000+01:00,2020,1,20
20,819233.933,2020-01-21T00:00:00.000+01:00,2020,1,21
21,798760.783,2020-01-22T00:00:00.000+01:00,2020,1,22
22,787137.841,2020-01-23T00:00:00.000+01:00,2020,1,23
23,779211.13,2020-01-24T00:00:00.000+01:00,2020,1,24
24,694449.203,2020-01-25T00:00:00.000+01:00,2020,1,25
25,638333.584,2020-01-26T00:00:00.000+01:00,2020,1,26
26,765217.542,2020-01-27T00:00:00.000+01:00,2020,1,27
27,764827.815,2020-01-28T00:00:00.000+01:00,2020,1,28
28,750758.333,2020-01-29T00:00:00.000+01:00,2020,1,29
29,736473.404,2020-01-30T00:00:00.000+01:00,2020,1,30
30,724285.588,2020-01-31T00:00:00.000+01:00,2020,1,31
31,643162.26,2020-02-01T00:00:00.000+01:00,2020,2,1
32,589022.875,2020-02-02T00:00:00.000+01:00,2020,2,2
33,689470.446,2020-02-03T00:00:00.000+01:00,2020,2,3
34,707280.852,2020-02-04T00:00:00.000+01:00,2020,2,4
35,718142.726,2020-02-05T00:00:00.000+01:00,2020,2,5
36,728668.773,2020-02-06T00:00:00.000+01:00,2020,2,6
37,731461.346,2020-02-07T00:00:00.000+01:00,2020,2,7
38,659226.465,2020-02-08T00:00:00.000+01:00,2020,2,8
39,609957.128,2020-02-09T00:00:00.000+01:00,2020,2,9
40,708731.033,2020-02-10T00:00:00.000+01:00,2020,2,10
41,720081.101,2020-02-11T00:00:00.000+01:00,2020,2,11
42,725181.895,2020-02-12T00:00:00.000+01:00,2020,2,12
43,718721.604,2020-02-13T00:00:00.000+01:00,2020,2,13
44,713147.24,2020-02-14T00:00:00.000+01:00,2020,2,14
45,637481.944,2020-02-15T00:00:00.000+01:00,2020,2,15
46,588964.423,2020-02-16T00:00:00.000+01:00,2020,2,16
47,698957.594,2020-02-17T00:00:00.000+01:00,2020,2,17
48,725081.702,2020-02-18T00:00:00.000+01:00,2020,2,18
49,723234.832,2020-02-19T00:00:00.000+01:00,2020,2,19
50,722122.127,2020-02-20T00:00:00.000+01:00,2020,2,20
51,712546.445,2020-02-21T00:00:00.000+01:00,2020,2,21
52,632830.408,2020-02-22T00:00:00.000+01:00,2020,2,22
53,583877.178,2020-02-23T00:00:00.000+01:00,2020,2,23
54,689815.141,2020-02-24T00:00:00.000+01:00,2020,2,24
55,703612.4,2020-02-25T00:00:00.000+01:00,2020,2,25
56,711543.095,2020-02-26T00:00:00.000+01:00,2020,2,26
57,709518.887,2020-02-27T00:00:00.000+01:00,2020,2,27
58,686859.941,2020-02-28T00:00:00.000+01:00,2020,2,28
59,631556.827,2020-02-29T00:00:00.000+01:00,2020,2,29
60,591163.19,2020-03-01T00:00:00.000+01:00,2020,3,1
61,700452.398,2020-03-02T00:00:00.000+01:00,2020,3,2
62,727509.399,2020-03-03T00:00:00.000+01:00,2020,3,3
63,717420.163,2020-03-04T00:00:00.000+01:00,2020,3,4
64,712988.749,2020-03-05T00:00:00.000+01:00,2020,3,5
65,716399.458,2020-03-06T00:00:00.000+01:00,2020,3,6
66,643915.385,2020-03-07T00:00:00.000+01:00,2020,3,7
67,593079.596,2020-03-08T00:00:00.000+01:00,2020,3,8
68,698604.235,2020-03-09T00:00:00.000+01:00,2020,3,9
69,705570.545,2020-03-10T00:00:00.000+01:00,2020,3,10
70,700679.458,2020-03-11T00:00:00.000+01:00,2020,3,11
71,696647.874,2020-03-12T00:00:00.000+01:00,2020,3,12
72,688661.399,2020-03-13T00:00:00.000+01:00,2020,3,13
73,607446.143,2020-03-14T00:00:00.000+01:00,2020,3,14
74,563982.777,2020-03-15T00:00:00.000+01:00,2020,3,15
75,665501.96,2020-03-16T00:00:00.000+01:00,2020,3,16
76,667255.725,2020-03-17T00:00:00.000+01:00,2020,3,17
77,647238.643,2020-03-18T00:00:00.000+01:00,2020,3,18
78,604983.624,2020-03-19T00:00:00.000+01:00,2020,3,19
79,610797.432,2020-03-20T00:00:00.000+01:00,2020,3,20
80,578004.955,2020-03-21T00:00:00.000+01:00,2020,3,21
81,550340.621,2020-03-22T00:00:00.000+01:00,2020,3,22
82,618412.317,2020-03-23T00:00:00.000+01:00,2020,3,23
83,628842.33,2020-03-24T00:00:00.000+01:00,2020,3,24
84,628922.413,2020-03-25T00:00:00.000+01:00,2020,3,25
85,624373.586,2020-03-26T00:00:00.000+01:00,2020,3,26
86,631203.105,2020-03-27T00:00:00.000+01:00,2020,3,27
87,570853.045,2020-03-28T00:00:00.000+01:00,2020,3,28
88,484176.093,2020-03-29T00:00:00.000+01:00,2020,3,29
89,573029.138,2020-03-30T00:00:00.000+02:00,2020,3,30
90,573175.438,2020-03-31T00:00:00.000+02:00,2020,3,31
91,575642.5,2020-04-01T00:00:00.000+02:00,2020,4,1
92,567766.2,2020-04-02T00:00:00.000+02:00,2020,4,2
93,554710.3,2020-04-03T00:00:00.000+02:00,2020,4,3
94,510504.2,2020-04-04T00:00:00.000+02:00,2020,4,4
95,487025.6,2020-04-05T00:00:00.000+02:00,2020,4,5
96,538214.0,2020-04-06T00:00:00.000+02:00,2020,4,6
97,538318.3,2020-04-07T00:00:00.000+02:00,2020,4,7
98,525742.4,2020-04-08T00:00:00.000+02:00,2020,4,8
99,503067.2,2020-04-09T00:00:00.000+02:00,2020,4,9
100,481859.9,2020-04-10T00:00:00.000+02:00,2020,4,10
101,490826.0,2020-04-11T00:00:00.000+02:00,2020,4,11
102,473814.6,2020-04-12T00:00:00.000+02:00,2020,4,12
103,509311.0,2020-04-13T00:00:00.000+02:00,2020,4,13
104,555657.9,2020-04-14T00:00:00.000+02:00,2020,4,14
105,574177.6,2020-04-15T00:00:00.000+02:00,2020,4,15
106,570984.6,2020-04-16T00:00:00.000+02:00,2020,4,16
107,569022.5,2020-04-17T00:00:00.000+02:00,2020,4,17
108,523700.8,2020-04-18T00:00:00.000+02:00,2020,4,18
109,493462.3,2020-04-19T00:00:00.000+02:00,2020,4,19
110,553454.5,2020-04-20T00:00:00.000+02:00,2020,4,20
111,574011.0,2020-04-21T00:00:00.000+02:00,2020,4,21
112,578424.6,2020-04-22T00:00:00.000+02:00,2020,4,22
113,574982.9,2020-04-23T00:00:00.000+02:00,2020,4,23
114,570170.7,2020-04-24T00:00:00.000+02:00,2020,4,24
115,529092.0,2020-04-25T00:00:00.000+02:00,2020,4,25
116,495659.5,2020-04-26T00:00:00.000+02:00,2020,4,26
117,562094.5,2020-04-27T00:00:00.000+02:00,2020,4,27
118,573265.9,2020-04-28T00:00:00.000+02:00,2020,4,28
119,574727.5,2020-04-29T00:00:00.000+02:00,2020,4,29
120,538554.7,2020-04-30T00:00:00.000+02:00,2020,4,30
